clade_name	clade_taxid	Strobel-6033-3_S254_L001_R1_001.fastq_profiled_metagenome	Strobel-6022-1_S253_L001_R1_001.fastq_profiled_metagenome	Strobel-4019-1_S115_L004_R1_001.fastq_profiled_metagenome	Strobel-3043-16_S118_L004_R1_001.fastq_profiled_metagenome	Strobel-3016-1_S117_L004_R1_001.fastq_profiled_metagenome	Strobel-3008-1_S116_L004_R1_001.fastq_profiled_metagenome	Strobel-3005-1_S255_L001_R1_001.fastq_profiled_metagenome	KC37_S18_L004_R1_001.fastq_profiled_metagenome	KC36_S17_L004_R1_001.fastq_profiled_metagenome	KC35_S16_L004_R1_001.fastq_profiled_metagenome	KC34_S15_L004_R1_001.fastq_profiled_metagenome	KC33_S14_L004_R1_001.fastq_profiled_metagenome	KC32_S13_L004_R1_001.fastq_profiled_metagenome	KC31_S12_L004_R1_001.fastq_profiled_metagenome	KC30_S11_L004_R1_001.fastq_profiled_metagenome	KC29_S10_L004_R1_001.fastq_profiled_metagenome	KC28_S9_L004_R1_001.fastq_profiled_metagenome	KC27_S8_L004_R1_001.fastq_profiled_metagenome	KC26_S7_L004_R1_001.fastq_profiled_metagenome	KC25_S6_L004_R1_001.fastq_profiled_metagenome	KC24_S5_L004_R1_001.fastq_profiled_metagenome	KC23_S4_L004_R1_001.fastq_profiled_metagenome	KC22_S3_L004_R1_001.fastq_profiled_metagenome	KC21_S2_L004_R1_001.fastq_profiled_metagenome	KC20_S1_L004_R1_001.fastq_profiled_metagenome	KC1_S25_L004_R1_001.fastq_profiled_metagenome	KC19_S84_L004_R1_001.fastq_profiled_metagenome	KC18_S83_L004_R1_001.fastq_profiled_metagenome	KC17_S82_L004_R1_001.fastq_profiled_metagenome	KC16_S81_L004_R1_001.fastq_profiled_metagenome	KC15_S80_L004_R1_001.fastq_profiled_metagenome	KC14_S79_L004_R1_001.fastq_profiled_metagenome	KC13_S78_L004_R1_001.fastq_profiled_metagenome	KC12_S77_L004_R1_001.fastq_profiled_metagenome	KC11_S76_L004_R1_001.fastq_profiled_metagenome	KC10_S75_L004_R1_001.fastq_profiled_metagenome	KC09_S74_L004_R1_001.fastq_profiled_metagenome	KC08_S73_L004_R1_001.fastq_profiled_metagenome	KC07_S72_L004_R1_001.fastq_profiled_metagenome	KC06_S71_L004_R1_001.fastq_profiled_metagenome	KC05_S70_L004_R1_001.fastq_profiled_metagenome	KC04_S69_L004_R1_001.fastq_profiled_metagenome	KC03_S68_L004_R1_001.fastq_profiled_metagenome	KC02_S67_L004_R1_001.fastq_profiled_metagenome	6034-7_S172_L002_R1_001.fastq_profiled_metagenome	6034-5_S171_L002_R1_001.fastq_profiled_metagenome	6034-4_S170_L002_R1_001.fastq_profiled_metagenome	6034-3_S169_L002_R1_001.fastq_profiled_metagenome	6034-1_S168_L002_R1_001.fastq_profiled_metagenome	6033-7_S167_L002_R1_001.fastq_profiled_metagenome	6033-5_S166_L002_R1_001.fastq_profiled_metagenome	6033-4_S165_L002_R1_001.fastq_profiled_metagenome	6033-1_S163_L002_R1_001.fastq_profiled_metagenome	6032-4_S162_L002_R1_001.fastq_profiled_metagenome	6032-3_S161_L002_R1_001.fastq_profiled_metagenome	6032-2_S160_L002_R1_001.fastq_profiled_metagenome	6023-6_S159_L002_R1_001.fastq_profiled_metagenome	6023-5_S158_L002_R1_001.fastq_profiled_metagenome	6023-4_S157_L002_R1_001.fastq_profiled_metagenome	6023-3_S156_L002_R1_001.fastq_profiled_metagenome	6023-1_S155_L002_R1_001.fastq_profiled_metagenome	6022-3_S154_L002_R1_001.fastq_profiled_metagenome	6022-2_S153_L002_R1_001.fastq_profiled_metagenome	6021-4_S151_L002_R1_001.fastq_profiled_metagenome	6021-3_S150_L002_R1_001.fastq_profiled_metagenome	6021-2_S149_L002_R1_001.fastq_profiled_metagenome	4019-3_S148_L002_R1_001.fastq_profiled_metagenome	4019-2_S147_L002_R1_001.fastq_profiled_metagenome	3044-2_S195_L002_R1_001.fastq_profiled_metagenome	3043-8_S194_L002_R1_001.fastq_profiled_metagenome	3043-5_S193_L002_R1_001.fastq_profiled_metagenome	3043-4_S192_L002_R1_001.fastq_profiled_metagenome	3043-14_S190_L002_R1_001.fastq_profiled_metagenome	3043-12_S189_L002_R1_001.fastq_profiled_metagenome	3043-10_S188_L002_R1_001.fastq_profiled_metagenome	3042-7_S197_L002_R1_001.fastq_profiled_metagenome	3042-6_S187_L002_R1_001.fastq_profiled_metagenome	3042-15_S186_L002_R1_001.fastq_profiled_metagenome	3042-12_S199_L002_R1_001.fastq_profiled_metagenome	3042-11_S198_L002_R1_001.fastq_profiled_metagenome	3041-1_S185_L002_R1_001.fastq_profiled_metagenome	3016-2_S184_L002_R1_001.fastq_profiled_metagenome	3015-3_S182_L002_R1_001.fastq_profiled_metagenome	3015-2_S181_L002_R1_001.fastq_profiled_metagenome	3015-1_S178_L002_R1_001.fastq_profiled_metagenome	3014-2_S180_L002_R1_001.fastq_profiled_metagenome	3014-1_S179_L002_R1_001.fastq_profiled_metagenome	3010-1_S177_L002_R1_001.fastq_profiled_metagenome	3002-2_S174_L002_R1_001.fastq_profiled_metagenome	3002-0_S173_L002_R1_001.fastq_profiled_metagenome	1000-R-_S144_L002_R1_001.fastq_profiled_metagenome	1-505-1_S145_L002_R1_001.fastq_profiled_metagenome
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17168	2|201174|1760|2037|2049|1654|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4258	0	0	0	0	0	12937	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_SGB17168|t__SGB17168	2|201174|1760|2037|2049|1654||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	2|201174|1760|2037|2049|1654|55565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20067	0	0	0	0	0	37846	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__SGB17130_group	2|201174|1760|2037|2049|1654|55565|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC065F12	2|201174|1760|2037|2049|1654|1739479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8045468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC065F12|t__SGB17194	2|201174|1760|2037|2049|1654|1739479|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM58	2|201174|1760|2037|2049|1654|1105030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33339	0	0	0	0	0	106789	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM58|t__SGB17169	2|201174|1760|2037|2049|1654|1105030|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ph3	2|201174|1760|2037|2049|1654|1118058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ph3|t__SGB17137_group	2|201174|1760|2037|2049|1654|1118058|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum	2|201174|1760|2037|2049|184869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58730	0	0	0	0	0	0	0	0	0	0	0	0	52658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense	2|201174|1760|2037|2049|184869|184870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11747	0	0	0	0	0	0	0	0	0	0	0	0	52658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense|t__SGB15482	2|201174|1760|2037|2049|184869|184870|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_massiliense	2|201174|1760|2037|2049|184869|1852372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_massiliense|t__SGB15484	2|201174|1760|2037|2049|184869|1852372|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Winkia	2|201174|1760|2037|2049|2692118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2162728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42496	2825915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	707	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Winkia|s__Winkia_neuii	2|201174|1760|2037|2049|2692118|33007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2162728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42496	2825915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	707	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Winkia|s__Winkia_neuii|t__SGB17192	2|201174|1760|2037|2049|2692118|33007|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0	290972	0	0	0	0	31537	360	0	389	47207952	3854	852	0	10285	594	0	12923026	3237279	70	0	0	0	0	0	0	81045	0	0	0	49474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3278	1382112	869635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9716726	7337525	0	0	0	247	10475457	11063482	5759381	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0	290972	0	0	0	0	31537	360	0	389	47207952	3854	852	0	10285	594	0	12923026	3237279	70	0	0	0	0	0	0	81045	0	0	0	49474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3278	1382112	869635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9716726	7337525	0	0	0	247	10475457	11063482	5759381	0
